Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
Mickey 17,https://www.imdb.com/title/tt12299608/,"Mickey 17, known as an &quot;expendable,&quot; goes on a dangerous journey to colonize an ice planet.",10,1,7.1,"Adventure, Comedy, Fantasy",PT2H17M
Anora,https://www.imdb.com/title/tt28607951/,"A young escort from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.",10,1,7.6,"Comedy, Drama, Romance",PT2H19M
The Electric State,https://www.imdb.com/title/tt7766378/,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",10,1,6,"Action, Adventure, Comedy",PT2H8M
Black Bag,https://www.imdb.com/title/tt30988739/,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband - also a legendary agent - faces the ultimate test of whether to be loyal to his marriage, or his country.",10,1,7.4,"Drama, Romance, Thriller",PT1H33M
Heretic,https://www.imdb.com/title/tt28015403/,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,10,1,7,"Horror, Thriller",PT1H51M
The Brutalist,https://www.imdb.com/title/tt8999762/,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.",10,1,7.5,Drama,PT3H36M
Lilo &amp; Stitch,https://www.imdb.com/title/tt11655566/,Live-action remake of Disney&apos;s animated classic &apos;Lilo and Stitch&apos;.,N/A,N/A,N/A,"Action, Adventure, Comedy",PT1H48M
Snow White,https://www.imdb.com/title/tt6208148/,A princess joins forces with seven dwarfs to liberate her kingdom from her cruel stepmother the Evil Queen. A live-action adaptation of the 1937 Disney animated film &apos;Snow White and the Seven Dwarfs&apos;.,N/A,N/A,N/A,"Adventure, Family, Fantasy",PT1H49M
Moana 2,https://www.imdb.com/title/tt13622970/,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she&apos;s ever faced.",10,1,6.7,"Animation, Adventure, Comedy",PT1H40M
The Gorge,https://www.imdb.com/title/tt13654226/,"Two highly-trained operatives become close after being sent to protect opposite sides of a mysterious gorge. When an evil emerges, they must work together to survive what lies within.",10,1,6.7,"Action, Adventure, Horror",PT2H7M
Captain America: Brave New World,https://www.imdb.com/title/tt14513804/,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.",10,1,5.9,"Action, Adventure, Sci-Fi",PT1H58M
The Substance,https://www.imdb.com/title/tt17526714/,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",10,1,7.3,"Drama, Horror, Sci-Fi",PT2H21M
